Start Date,End Date,Type,Title,Details
2026-09-11,2026-09-11,Event,AURA '26,"6 PM to 10 PM — Open Auditorium"
2026-08-10,2026-08-18,Exam,CAT-1,"Fall Semester 26-27"
2026-09-21,2026-09-28,Exam,CAT-2,"Fall Semester 26-27"
2026-10-14,2026-10-31,Exam,FAT — Term End Examination,"Fall Semester 26-27"
2026-09-07,2026-09-09,Exam,CAT-1,"Fall Semester 26-27 — 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-10-05,2026-10-07,Exam,CAT-2,"Fall Semester 26-27 — 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-10-19,2026-10-30,Exam,FAT — Term End Examination,"Fall Semester 26-27 — 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-12-17,2026-12-24,Exam,CAT-1,"Winter Semester 26-27"
2027-02-05,2027-02-12,Exam,CAT-2,"Winter Semester 26-27"
2027-03-11,2027-03-31,Exam,FAT — Term End Examination,"Winter Semester 26-27"
